Sl_No,Restaurant Name,Swiggy RID,Credit Limit,Number of Outlets in City,Detected_Cuisines,Imported Avocado,Blueberry,Cherry Tomato,Parsley,Thai Asparagus,Indian Asparagus,Lemon Grass,Thai Basil,Italian Lemon,Thai Bird Chilli,Shiso Leaves,Rosemary,Total_SKU_Score
1458,The Thai Chef Restaurant,697122,83722,1,"Thai, Fine_Dining",0.3,0.2,0.4,0.35,0.3,0.2,0.85,0.8,0.2,0.75,0.0,0.4,4.75
3928,Millet's Fusion,1066934,7500,1,"Pan_Asian, Health_Organic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3321,Wok bowl,637996,15956,1,"Chinese, Pan_Asian, Health_Organic",0.7,0.6,0.55,0.3,0.25,0.35,0.5,0.4,0.0,0.35,0.15,0.3,4.45
2219,Green Chillies Hotel,376994,27093,1,"Health_Organic, Hotel_Star",0.7,0.6,0.55,0.45,0.25,0.35,0.3,0.2,0.25,0.0,0.1,0.5,4.25
1622,"Doner & Gyros - Salad, Shawarma, Falafel House",1064583,57628,1,"Mediterranean, Health_Organic, Arabian",0.7,0.6,0.65,0.55,0.25,0.35,0.1,0.0,0.3,0.0,0.0,0.55,4.05
3565,Pizza Palace,482824,12500,2,"Italian, Hotel_Star, Fast_Food",0.4,0.3,0.7,0.6,0.0,0.25,0.3,0.2,0.45,0.0,0.1,0.65,3.95
4781,Pizza Palace,482824,10000,2,"Italian, Hotel_Star, Fast_Food",0.4,0.3,0.7,0.6,0.0,0.25,0.3,0.2,0.45,0.0,0.1,0.65,3.95
2137,Phra Nakhon - Thai Cafe,476546,29801,1,"Thai, Cafe_Bakery",0.35,0.4,0.2,0.0,0.3,0.0,0.85,0.8,0.0,0.75,0.0,0.25,3.9
3202,THE DIGITALE CHEF VEGAN PATISSERIE CAFE,292629,17881,1,"Cafe_Bakery, Health_Organic, French",0.7,0.6,0.55,0.5,0.25,0.35,0.0,0.0,0.35,0.0,0.0,0.55,3.85
4150,The Digitale Chef ~ Vegan Patisserie Cafe,292629,17281,1,"Cafe_Bakery, Health_Organic, French",0.7,0.6,0.55,0.5,0.25,0.35,0.0,0.0,0.35,0.0,0.0,0.55,3.85
4240,Organic Pork Restaurant,908218,16060,2,"Fine_Dining, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
3551,BBC Restaurant Biryani Bowl and Curries,1007092,12500,2,"Fine_Dining, North_Indian, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
3194,DOCTOR JUICE - Immunity Health Bar!,77855,18021,1,"Fine_Dining, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
5068,Kavitha'S Kitchen Health Home Food,921293,10000,2,"Fine_Dining, Health_Organic, Food_Generic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
5007,BBC Restaurant Biryani Bowl and Curries,1007092,10000,2,"Fine_Dining, North_Indian, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
2208,Sunkissed Smoothie Bar,1022291,27358,1,"Fine_Dining, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
658,Toneopeats - The Health Kitchen,1047459,"2,55,254",1,"Fine_Dining, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
2867,Kavitha'S Kitchen Health Home Food,921293,25000,2,"Fine_Dining, Health_Organic, Food_Generic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
3080,Organic Pork Restaurant,908218,20241,2,"Fine_Dining, Health_Organic",0.7,0.6,0.55,0.35,0.25,0.35,0.15,0.0,0.2,0.0,0.0,0.4,3.55
1415,Wok with Chung - Chungs Culinary Art,95128,89821,1,"Chinese, Fine_Dining, Pan_Asian",0.3,0.2,0.4,0.35,0.0,0.2,0.5,0.4,0.2,0.35,0.15,0.4,3.45
1365,Teriyaki Pan Asian Kitchen,1179695,98297,1,"Fine_Dining, Pan_Asian",0.3,0.2,0.4,0.35,0.0,0.2,0.5,0.4,0.2,0.35,0.15,0.4,3.45
1696,555 Darjeeling Unique Asian Cuisine,216776,49545,1,"Fine_Dining, Pan_Asian",0.3,0.2,0.4,0.35,0.0,0.2,0.5,0.4,0.2,0.35,0.15,0.4,3.45
4243,Coffee Thindi hotel,400738,16045,2,"Cafe_Bakery, Hotel_Star",0.4,0.4,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.4
3113,IYENGER'S CAKE PALACE BAKERY,995511,19458,1,"Cafe_Bakery, Hotel_Star",0.4,0.4,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.4
2237,Coffee Thindi hotel,400738,26646,2,"Cafe_Bakery, Hotel_Star",0.4,0.4,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.4
3587,Hotel Nammane Coffee,538570,12500,1,"Cafe_Bakery, Hotel_Star",0.4,0.4,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.4
1126,Mandara Grand,208550,"1,32,829",1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4486,R N Dum Biryani Hotel,919431,12500,2,"North_Indian, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1004,Rajathagiri Palace,919443,"1,56,544",2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4482,Karnataka Hindu Military Hotel,349342,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
3703,De Grand Restaurant,52009,12500,1,"Fine_Dining, Hotel_Star",0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4473,Sri Devi Grand,539213,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4490,Hello Hotel,853357,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
4472,THE TAJ HOTEL,727350,12500,2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1143,Sri Krishna Grand,372520,"1,30,344",2,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
2544,Shiv Sai hotel,118459,25000,1,Hotel_Star,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
