,Particulars,search_name,Address
0,Accent Hotels Pvt Ltd,Accent Hotels,"Sipcot No 36 OMR, Chennai 600 090, Mob:9600747175."
1,ACENDO HEALTH CARE,ACENDO HEALTH CARE,"First Floor, No.48/1,, N M K Street,, Ayanavaram,, Chennai - 600 023., Mob: 8754282236"
2,ACE Three Enterprise Llp,ACE Three,"Old No:3,New No:5,, Haddows Road,1st Street,, Nungambakkam,Chennai-600006., Mob:9940062414"
3,Achayathis Restaurant,Achayathis Restaurant,"100 Feet Road,, Opp Opposite Kalyan Jewellers,, 3rd Street,Rajalakshmi Nagar,, Velachery,Chennai-600042., Mob:8589041869."
4,ADDEPALLI KUMAR GURUCHARAN,ADDEPALLI KUMAR GURUCHARAN,"Sai Ram Distributors, New No 168, Govindappa Building, Naicken Street , AVC Plaza, Chennai 600 001, Mob 98841 35111"
5,Adhi Shivan Trading Co,Adhi Shivan,"Ground Floor Phase I, No 2,, Marudhupandi Road, Ganapathy Nagar,, Velacherry,, chennai - 600042, Contact No : 9597991525"
6,Adhithya Business Solution,Adhithya Business,"Hazel B42, Citilights Meadows, 82,, Andal Amman Street, Nolambur,, Chennai, Tamil Nadu, 600095, Mob : 90806 99495"
7,Admiral Marine Services Pvt Ltd,Admiral Marine,"1st Floor, No:23, Moore St,, Chennai, Tamilnadu-600001, Mob:9003307065"
8,Adoughrable Foods,Adoughrable Foods,"no:11 C V Raman Road,, Anandapuram,, Alwarpet,Chennai-600018., Mob:9952544306 / 9841539243"
9,Advanced Motor Care,Advanced Motor Care,"( L Nitin Chordia ), 34, Conron Smith Rd,, Gopalapuram,, Chennai  600 086., Mob No.  9600064846, 7299229997"
10,Advantage Foods Private Limited(W),Advantage Foods,"NO:1043,Chokkanallur Village,, Poonamallee Taluk,Tiruvallur Dist,, Chennai-600072., Mob:9962445190 / 6380126446"
11,Adyar Ananda Bhavan Sweets India Pvt Ltd,Adyar Ananda Bhavan Sweets,"No. 53, Industrial Estate Ambattur, Industrial Estate  Ambattur, Chennai - 600 058, Tel No: 044 42 333 333"
12,Adyar Departmental Stores,Adyar Departmental Stores,"26, S S Street,, Mangadu,, Chennai - 600 122., Mob: 9884477784"
13,Adyar Departmental Stores ( M ),Adyar Departmental Stores,"Old No.4/294,New No.22, 2nd Main Road, Mmda Colony, Maduravoyal,, Chennai, Tiruvallur, Tamil Nadu, 600095, PH: 9884477784, 9884377784"
14,Adyar Gate Hotels Limited,Adyar Gate Hotels,"TTK Road, Chennai 600018"
15,AG Hospitalities  Private Limited,AG Hospitalities,"Novotel Chennai Chamiers Road, No 11 Chamiers Road, Nandanam, Chennai 600 035, Mob 73388 71769, +91 44 24302333, A/C No: 9841023057"
16,Agk Hotels International Private Limited,Agk Hotels,"No 1, Krishna Group, 1st Main Road,, CIT Colony,, chennai -600004, PH: 99520 13411"
17,Agni Agency,Agni,"Plot no 56, Srinivasa Nagar,, Lakshmipuram main road,, Poonamalle,, Chennai - 600 056., Mob: 9789113008"
18,Ahara Speciality Foods LLP,Ahara Speciality Foods,"New No 22 Old No 40, 3rd Street East Abhiramapuram, Mylapore, Chennai 600 004, 9952908770/9962542551., 9176701657"
19,Ahlan Copper Kitchen,Ahlan pper Kitchen,"No:7,P.C.M.Colony,, Thomas Mount,, Chennai-600016., Mob:9677164004"
20,AHLAN PALMSHORE,AHLAN PALMSHORE,"No. 14/4, AA Block,, 3rd Main Road,, Anna Nagar,, Chennai 600 040., Mob: 91760 72244"
21,Aitken Spence Hotel Managements(SI) Pvt Ltd,Aitken Spence Hotel Managements,"No 144 7 Rajiv Gandhi Salai, OMR Kottivakkam, Chennai 600 041, Mobile No 80723 31522"
22,AIWO Limited,AIWO,"Cathedral Garden Road, Nungambakkam, Chennai 600 034, Mob 89398 20599, 96000 88000, ( Delivery at Raja Annamalai Puram )"
23,A.J. FRIENDS HOCKEY CLUB,A.J. FRIENDS HOCKEY CLUB,"2/101, 6th Street, Anna Nagar East,, Chennai-600102, Mob-7010751683"
24,AK Foods,AK Foods,"No:16,Ramsamy St, Alwarpet,, Chennai-600018, Mob:8825718274,9092948353"
25,AK FOODS (N),AK FOODS,"No:81 4th Floor, B Block, Nochi Nagar,, Mylapore Chennai-600004, Mob:88257 18274"
26,Akrs Enterprises,Akrs,"No.42, MAG NIVAS, Ganapathy Nagar, Extension, Thirunindravur, Kannadapalayam, Chennai,, Tiruvallur, Tamil Nadu, 602024, Ph:9940685828"
27,Aks Enterprises,Aks,"R-92, Ground Floor, Ayappakam Housing Board Road, Chennai, Tamilnadu Housing Board Chennai Circle, Tiruvallur"
28,Akshayam Organiic,Akshayam Organiic,"No. 124/2, G - Block, First Main Road,, Anna Nagar East,, Chennai-600102"
29,Akshaya Traders,Akshaya Traders,"No:3/8,Red Hills Road,, Ganapathy Rao Nagar,, Kolathur,Chennai-600099."
30,Al-Ameen Chef Express Family Restaurant,Al-Ameen Chef Express Family Restaurant,"210-1B-16 Anna Salai, Kodaikanal, ( Delivery Address:, Ciro Cattaneo, Sunrise Villa,, Ags Colony Beach, B.34 Kottivakkam, Chennai 600 041."
31,Alankar Bakery,Alankar Bakery,"No:14/3,Bharathidasan Street,, Bangalore to Chennai by Pass Road,, Arcot-632503., Mob:9791933705"
32,AL FRESCO CAFE,AL FRESCO CAFE,"No.80, Plot No.19B,, City Recreation Building,, New Avadi Road, Alagappan Nagar,, Kilpauk,, chennai - 600010, Contact No : 9551154012"
33,ALICE FAMILY BAZAAR,ALICE FAMILY BAZAAR,"No B25, Kambar Salai,, Mugappair Industrial Estate,, Mugappair West,, Chennai - 600 037., Mob: 9150238761."
34,Amadora Gourmet Ice Cream Pvt Ltd ( New ),Amadora Gourmet Ice Cream,"Sree Narayana Complex,, Ground Floor,B-Block,No:29,, Sarathy Nagar,Velachery,, Chennai-600042."
35,AM ASSOCIATES,AM ASSOCIATES,"7278, Ayapakkam Housing Board Road,, Ayapakkam,, Chennai-600077, mob:99433 15710"
36,AMBATTUR AARTHI SWEETS AND BAKERY,AMBATTUR AARTHI SWEETS AND BAKERY,"27,Northi Park Street,, Venkatapuram Tiruvallur,, Chennai-600053, Mob:9360792743"
37,Ambattur Hotels Private Limited,Ambattur Hotels,"( Park Hyatt), 39 Velacherry Road, Guindy Chennai  600 032, Tel No 044 71771242"
38,Ambica Agarbathies Aroma & Industries Limited,Ambica Agarbathies Aroma &,"(Ambica Empire), No 79 100ft Road, Vadapalani, Chennai 600026, 044-23621818 1986"
39,Ambika Retail Private Limited,Ambika Retail,"25 Dr. Nair Road, T. Nagar,, Chennai-600017, PH: 044-28158782, PH:044-28158783"
40,Amethyst Cafe Pvt Ltd,Amethyst Cafe,"Whites Road, Royapettah, Chennai 600 014, Ph 98401 20554, Tel No 044 4599 1630 31 32"
41,Amirtham Gamaya,Amirtham Gamaya,"NO. 1/168, East Coast Road,, Palavakkam, Chennai,, Tamil Nadu, 600041, Ph : 9841156914"
42,Amma Naana,Amma Naana,"No:100,Chamiers Road,, Teynampet,, Chennai-600010"
43,A M S TRADERS,A M S TRADERS,"30, ROAD STREET MURUGAN KOIL ROAD,, KUNDRATHUR, Chennai, Tamil Nadu-600069, Mob:9841323379"
44,Anamalaiss Retails Private Limited,Anamalaiss Retails,"Plot No:22,East Coast Road,, Raja Nagar,Neelangarai,, Chennai-600115., Mob:9087102631"
45,Anamallais Retail Company,Anamallais Retail mpany,"Plot No:22,East Coast Road,, Raja Nagar,Neelangarai,, Chennai-600115., Mob:9087102631"
46,Anand Automotive Limited,Anand Automotive,"No.634, 2nd Floor, Karumuttu Centre, Anna Salai, Nandanam, Chennai - 600035., Mob: 99941 37495"
47,Anand Super Market,Anand Super Market,"No.3, Thulukka Street,, Kundrathur,, Chennai - 600069., Mob:9841686970"
48,ANJALI HOTELS PVT LTD,ANJALI HOTELS,"27, Signal Office Road,, Pammal,, Chennai - 600075., Mob: 9445567766"
49,ANJANAAS KITCHEN LLP,ANJANAAS KITCHEN,"2 P N Palayam,, Arasankalani,, Sithalapakkam,, Chennai - 600 126., Mob: 9629986234"
50,Anmor Overseas Venture Private Limited,Anmor Overseas Venture,"No:53/2A,Thandal Kazhani,, Chennai-600066."
51,Annachi Enterprises Private limited,Annachi,"155A, THIRUGNANA SAMBANDAR STREET,, TV NAGAR, ANNA NAGAR , Chennai, Tamil Nadu, 600040, Mob:8608259999"
52,Annachi Enterprises Private limited (M),Annachi,"70/1,Laskhmi Apt,Col Ngr,Mugappair East, Chennai -37"
53,Annachi Fruits & Vegetables,Annachi Fruits & Vegetables,"No:3/188, Poonamallee High Road,, Porur,Chennai-600116., Mob:9841491501"
54,Annachi Mini Mart,Annachi Mini Mart,"3/571, Mugalivakkam Main Road, Madhanandhapuram, Chennai-600125, Mob:9655550171"
55,Annachi Super Market,Annachi Super Market,"No.37-F,Tambaram Main Road Vijaya Nagar,, Chennai-600042, Mob:.9600015203"
56,Annai Foods,Annai Foods,"No.16, Ganesh Nagar,, First Main Road,, Madipakkam, Chennai,, Tamil Nadu, 600091, Contact: 044-47891039,9042785286"
57,Annapoorani Cafe,Annapoorani Cafe,"No :1, Agrahara Street,, Avadi, Chennai-054, Mob:9940197442"
58,Ansari Estate Private Limited,Ansari Estate,"(Ramada Hotels), Gandhi Irwin Road, Next to CMDA Building, Egmore, Chennai-600 008, 30004777, 90438 50042"
59,ANS PANDIAN SUPER MARKET,ANS PANDIAN SUPER MARKET,"NO 1 / 10, BAZAR ROAD MAIN COLLECTOR, NAGAR, MUGAPPAIR EAST, Chennai,, Tamil Nadu, 600037, Mob:81488666556,9677292991"
60,Anuradha Hospitalities,Anuradha Hospitalities,"No.3, Venkatnarayana Road,, T.Nagar,, Chennai - 600 017., Mob: +91 98843 92643, Mr. Kiran"
61,Anuthams Gelato,Anuthams Gelato,"No 7, Neela Nagar, Phase 2,, 3rd Street,, Medavakkam, Chennai,, Tamil Nadu, 600100, Ph:84285 04372"
62,APA Hotels Private Limited,APA Hotels,"(The Residency Towers), Sir ,Thyagaraya Road,, Chennai 600017, 044 28156363"
63,Apeejay Surendra Park Hotels Limited,Apeejay Surendra Park Hotels,"# 601.Anna Salai, Chennai- 600 006, Tel No: 044 42676000, 42144000"
64,Apollo Sindhoori Hotel Ltd ( CK ),Apollo Sindhoori Hotel Ltd,"Centralised Kitchen, No:717,No:238,Pathari Road,, Anna Salai,, Chennai-600002., Mob:7401114634, ( Near Raj Video Vision)"
65,Apollo Sindhoori Hotel Ltd ( Main Hospital ),Apollo Sindhoori Hotel Ltd,"No:21,Greams Lane,, Off Greams Road,Thousand Lights,, Chennai-600006., Mob:7401114634."
66,Apollo Sindhoori Hotel Ltd ( Ty ),Apollo Sindhoori Hotel Ltd,"No:6,Old No:24,Cenotaph Road,, Teynampet,Chennai-600035., Mob:7401114634."
67,Apollo Sindoori Hotel Ltd ( Proton ),Apollo Sindoori Hotel Ltd,"Apollo Proton Cancer Center, No:4/661,Dr Vikram Sarabai Instronic Estate,, 7th Street,Dr Vsi Estate,Phase II,, Taramani,Chennai-600009., Mob:7401114631."
68,Apollo Sindoori Hotels Limited(MCC),Apollo Sindoori Hotels,"ASHL - Madras Cricket Club, 1, Babu Jagarjeevan Ram,, Chepauk, Chennai - 600 005, MOB:- 7401114634"
69,APPLE STATIONERY,APPLE STATIONERY,"No:19, V N Doss Road , Mount Road ,, Chennai-600002, Mob:97910 97666"
70,APPLE SUPER MARKET,APPLE SUPER MARKET,"No. 6, Sri Kamatchiamman Nagar,, Kundrathur Main Road,, Mangadu, Chennai 600 122., Mob: 7550123001"
71,APPLE SUPER MARKET (P),APPLE SUPER MARKET,"No.3, Lakshmipuram Main Road,, Ramanujakoodam Street,, Poonamallee,, Chennai - 600 056., Mob: 9710553639"
72,Appu Hotels Limited,Appu Hotels,"( Le Royal Meridien Chennai ), G S T Road Guindy, Chennai  600 016, Tel No: 044 45532290, 22314343,44"
73,A P SUPER MARKET,A P SUPER MARKET,"1 A,Vembuliamman Koil Street,, Virugambakkam,, Chennai - 600 092, Ph.No.044 47760222, mob:7305949659"
74,A P Super Market(K),A P Super Market,"No 450,Rk Shanmugam Salai, Kk Nagar,, Chennai-600078, mob:73059 49659 / 73059 49859"
75,ARA Engineering And Construction Pvt Ltd,ARA Engineering And nstruction,"No.91 VGP Queens Town,, Chettipedu Sriperumbudur,, Chennai-602105, Mob-9884800977"
76,Araliya Supermarket,Araliya Supermarket,"8th Street Abirami Nagar,, Maduravoyal,, Chennai-600095"
77,ARC Foods and Beverages ( Sales ),ARC Foods and Beverages,"33/24 A Ranjith Roads,, Kotturpuram,, Chennai 600085"
78,Archana Foods,Archana Foods,"E 50 Plot No 3 17th Cross Road, Besant Nagar, Chennai 600 090, Mob No: 8015195000, Tel 8939295000"
79,Arc Reactor,Arc Reactor,"1A, Ist Floor,Janak Apartments,, Vepery,Ritherdon Road,, Chennai"
80,A R FOUNDATIONS PRIVATE LIMITED,A R FOUNDATIONS,"( SHERATON GRAND CHENNAI RESORT & SPA), No 280 ECR, Vadanamelli, Chennai,, Tamil Nadu, 603104, Mob- 78240 10227, Tel No: 044 33422222"
81,Arihant Agencies,Arihant,"No:13,Old No:6,, Vadamalai Street,Purasaiwakkam,, Chennai-600007., Mob:9941137972"
82,ARIHANT ENTERPRISES,ARIHANT,"No.57, S.No.22, Gerugambakkam Main Road,, Gerugambakkam, Chennai, Chengalpattu,, Tamil Nadu, 600128., MOB:9380809090"
83,Arkana Hospitality Private Limited,Arkana Hospitality,"A Block New No:78,Old No:1943,, 1 St Floor,18th Mani Road,, Anna Nagar West,, Chennai-600040."
84,Ark Bistro,Ark Bistro,"NO: 19,First Floor,Kakhan Street,, Potheri,Kattankulathur,, Chennai-603203., MOB: 9962103426."
85,AR  NUTS & SPICES,AR NUTS & SPICES,"No. 363 / 1A, Trunk Road, Karayanchavadi,, Poonamallee,, Chennai-600056, Mob:9790834044 ,7397454753"
86,AR.Rahman,AR.Rahman,"No:30,Hail Ali Nagar,, Pattur Main Road,Mangadu,, Chennai-600122., Mob:7092007579"
87,Arrow Enterprises,Arrow,"E1 Block, S2, Second Floor,, Krishn Phase-II, Adhanour Road,, Varadharajapuram,, Mannivakkam,, Chennai - 600 048., Mob: 8637487966"
88,Arul Super Stores,Arul Super Stores,"322/1,Poonamallee High Road, Aminjikarai, Chennai-600029, Mob:9789073330, Ph: 42654589,26642229."
89,Aruna Hotels Limited,Aruna Hotels,"No 145, Aruna Centre,, Sterling Road,, Nungambakkam,, Chennai 600034., Mob: 9363401487"
90,ARUSH & CO,ARUSH &,"NO.40/3, ANNASALAI, PADMAVATHI NAGAR,, KOLAPAKKAM,CHENNAI,Tamil Nadu, 600128, Mob:9884000050"
91,ARUSH RETAIL,ARUSH RETAIL,"No.1, Guruswamy Nagar Extension,, Madhanandapuram main road,, Mugalivakkam,, Chennai-600125, Mob:9884200786"
92,Arush Retail Private Limited,Arush Retail,"No:40/3, Anna Salai, Padmavathy Nagar,, Kolapakkam,, Chennai-600128, Mob:9884000050"
93,Aruvi Supermarket,Aruvi Supermarket,"(Shreevedhaa Retail Business Private Limited), 145, Mangadu Rd, Then Colony, Mangadu,, Chennai-600122, Mob:7825078150"
94,ARZ Food Ventures Private Limited,ARZ Food Ventures,"No 6 Radhamohan Street, Velacherry, Chennai 600 042, Tel 044 4263 0001, Balaji 98414 88322"
95,Asan Memorial Association,Asan Memorial Association,"A Unit Of Asan Memorial College Of Arts & Scince, 1/176, Bharathiyar Salai,, Velacherry,, Tambaram Road,, Jalladiampet,, Chennai - 600 100., Mob: 9445142474"
96,ASHOK RESIDENCY LTD,ASHOK RESIDENCY LTD,"1/460, ASHOK RESIDENCY LTD,, MOUNT POONAMALLEE ROAD, AYYAPPANTHANGAL,, CHENNAI, Kancheepuram, Tamil Nadu,"
97,Asiana Hotels,Asiana Hotels,"1 238 Semmanchery, Old Mahabalipuram Road, Chennai 600 119"
98,ASM FOODS,ASM FOODS,"Plot No.21 F, R.S.No.6/8, Present R.S.No.A1B, Beach Raod, Mgr Salai Palavakkam, Chennai -600041, PH: 7358262141 ,9659681203"
99,Asrita Enterprise,Asrita,"35/38, SRI KANDA VILAS, CO-OPERATIVE COLONY,, ALWARPET, CHENNAI-600018, 91764 22399"
100,ASR - Velus Pazlamudir Solai & Super Market,ASR - Velus Pazlamudir Solai & Super Market,"Plot No 1826, 18th Main Road,, Anna Nagar West,, Chennai - 600 040., Mob: 9500194794."
101,Aswins Home Special,Aswins Home Special,"Door No:8/170A,, Eraiyasamuthiram Village,, Kalpadi North,Chennai to Trichy NH, Road,Perambalur-621113., Mob:7540079777"
102,Athirai Traders,Athirai Traders,"SECOND FLOOR, DOOR NO 40, JAGATHGURU STREET,, East Kamakoti Nagar,, Chennai-600087, Mob:7845800925"
103,Atwo Export,Atwo Export,"Chennai, Mob:9176437707"
104,Australian Foods India Private Limited,Australian Foods,"Plot No 20 23, Ambattur Industrial Estate, Chennai 600 058"
105,A V K Plastics,A V K Plastics,"29, MALAYAPERUMAL STREET, PARRYS,, Chennai, Tamil Nadu, 600001, Mob- 99405 69409"
106,Ayyanar Provision Store,Ayyanar Provision Store,"11, Muniyappanagar Mainroad Chinmayanagar,, Nerkundram,, Chennai-600107, mob:9123594935"
107,Ayyanar Stores,Ayyanar Stores,"Ground Floor, 4-19, Valluvar Salai,, Ramapuram, Chennai -Chengalpattu,, Tamilnadu -600089, Mob:9444090199"
108,Ayyanar Stores (A),Ayyanar Stores,"Y-20,v the avenue,, Anna nagar,, chennai-600040, Mob:9941114748"
109,Ayyanar Super Market,Ayyanar Super Market,"No:33, Elumalai Salai,, Ayyappanthangal ,, Chennai-600056, Mob:9176876244"
110,Azure Hospitality Pvt Ltd,Azure Hospitality,"(Brand Mamagoto), Shop No 9 Khader Nawaz Khan Road, Chennai 600 006, Mob No  7358769441, Tel No:7978580654, A/c No: 9418255720"
111,Azure Hospitality Pvt Ltd ( D ),Azure Hospitality,"( Dhaba Restaurant ), Ispahani Centre Bearing Door No 123 124, Nungambakkam High Road, Ground And First Floor, Chennai 600 034, Ph Bijaya – 9940103622, Roshan 8879766670"
112,AZURE HOSPITALITY PVT LTD ( P ),AZURE HOSPITALITY,"UNIT OF MAMAGOTO RESTAURANT, UG- 29,30 Pheonix Market City No 142, Velachery Main Road Chennai-600042, Mob No: 089393 87102, 044 66650212"
113,BABY SHARK FUN ZONE,BABY SHARK FUN ZONE,"1st Floor, Plot.No.32, 1st Main, Road, Kolapakkam,, Chennai-600122, Mob:8939911344"
114,Bafna Sons,Bafna Sons,"GROUND, 6, Ground,6 Bafna Sons, Mulla Lane,, Sowcarpet Chennai 6000001, 93810 07041"
115,BAJORIA HOSPITALITY LLP,BAJORIA HOSPITALITY,"18, 3Rd Floor, Harshol Apartments,, Tiger Varadhachari Road,, Kalashetra Colony, Besant Nagar,, Chennai - 600 090., Mob: 7550027628"
116,Baked Fresh Venturers,Baked Fresh Venturers,"Old No 48 New No 50, Seethammal Road, Teynampet, Chennai 600 035, Mob 82483 22146"
117,Baker's 360 Degree,Baker's 360 Degree,"GROUND FLOOR, HIG-295, BHARATHI STREET, MOGAPPAIR WEST, CHENNAI, Chennai, Tamil Nadu, 600037, Mob-807 24 66 804"
118,Bakers Chest,Bakers Chest,"30 Devadoss Street, Gurusamy Nagar, Mugalivakkam, Chennai 600 125, PH 9840209936"
119,Bakery Garden,Bakery Garden,"No 22b College Road, Nanganallur, Chennai, 9710432433"
120,Bake Wish Private Limited,Bake Wish,"1 ST FLOOR, NO 2, South corner block building,, Sholinganallur Thrivalluvar SALAI,, Kumarannagar, Chennai,, Tamil Nadu, 600119, Ph:9884601666"
121,Bakkiya Trading Company,Bakkiya mpany,"Old No 21/1 New No 11/1, Vaigai Colony 2nd Street, Ashok Nagar, Chennai 600 083, Mob 98842 42761, Vijaya Kumar"
122,Balaji Provisional Stores,Balaji Provisional Stores,"Old No. 2/313, New No. 1/404., Srinivasa Nagar,, Moolavaravathy,, Kovoor, Chennai - 600 128., Mob: 9043375091."
123,BALAJI TRADERS,BALAJI TRADERS,"Ground Floor,, RMK Chola Gardens,, Sundaracholavaram Village,, Tiruverkadu,, Chennai - 600 077., Mob: 9500040969"
124,Bamboo Kitchen,Bamboo Kitchen,"No:6/8,4th Avenue,2nd Floor,, Main Road,AH Block Shanti Colony,, Anna Nagar,Chennai-600040., Mob:8939632585."
125,Barani,Barani,"No:T-29B,7th Avenue,, Besant Nagar,Chennai-600090., Mob:8925503453"
126,Bargainmart,Bargainmart,"KS Square, No:318/1A5,NH Byepass Road,, Nolambur,Chennai-600037., Mob:8925462171"
127,Barque Hotels Pvt Ltd,Barque Hotels,"Holiday Inn Express, No. 5/395, OMR Road Nehru Nagar, Thoraipakkam, Chennai-600097, Mob-8939834541"
128,BASHA ESSENTIAL,BASHA ESSENTIAL,"First Floor, New No.207, Old No. 89, Bharathi Salai, Triplicane,, Chennai- 600005, Mob-98847 86006, 98844 78666"
129,Basil  ( Depika ),Basil,"No 4/23, 2nd Main road, Rayala Nagar, Ramapuram, Chennai - 89, contact no : 9841200750"
130,Basil Nativoo Private Limited,Basil Nativoo,"SECOND FLOOR, PLOT NO 12 NO 5/29,, Manapakkam Ramapuram Road, NEAR, Ayyanar Super Market, Saidapet,, Chennai, Tamil Nadu, 600089, Ph:98412 00750"
131,Bayview Projects Limited Liability Partnership,Bayview Projects Liability Partnership,"12/22, Gilchrist Avenue,, Harrington Road Chetpet,, Chennai - 600 031., Mob: +91 70216 63290"
132,Beachville Coffee Private Limited,Beachville ffee,"Old No -64.New No-21, 4th Street Abhiramapuram, Chennai-600018, Mob: 6379190620"
133,Benney Bakers & Cakes,Benney Bakers & Cakes,"43 west kalmandapam road, Royapuram, Chennai-600013, Mob:9677222762"
134,Benny Foods,Benny Foods,"SHOP NO. G/A 315, WHOLESALE FOOD, GRAIN MARKET, KOYAMBEDU,, CHENNAI-600107"
135,Best Choice,Best Choice,"1ST FLOOR, 769,F70,71C,71D, SPENCER PLAZA,, 2ND PHASE, ANNA SALAI, Chennai, Tamil Nadu, 600002, MOB:9363378651"
136,BESTKEPT RESTAURANT SECRETS PRIVATE LIMITED,BESTKEPT RESTAURANT SECRETS,"48/72, Chathidral Road, Galilayapuran, Chennai, Tamil Nadu, 600086, Mob:+91 98400 75450"
137,Beverly Hotel (P) LTD,Beverly Hotel LTD,"No:17,Rajarathinam Road,, Kilpauk,Chennai-600010"
138,Beyond Loaf,Beyond Loaf,"Ground Floor, Old no.9 New no.11, Beyond, Loaf, Vivekananda Street, Chetpet, Near, Shree Mithai, Srinivasa Nagar, Chennai,, Tamil Nadu, 600031, PH:98407 28565"
139,BGR Dairy Foods,BGR Dairy Foods,"No:4/5-2,Valliammal Garden 2nd Street,, Near Chalrapani Street Five Lights,, Kodambakkam.Chennai-600024., Mob:9840777272."
140,Bhangra,Bhangra,"Tejkarans Mayajaal, 34/1, Mayajaal, East Coast Road,, Kanathur, Chennai  603112, Mob-94448 92326"
141,Bhavani Essence,Bhavani Essence,"No:40/2,Lakshmi Talkies Road,, Shenoy Nagar,Chennai-600030., Mob:9176503535."
142,Bhavani Essence And Frozen Foods,Bhavani Essence And Frozen Foods,"21/5, JAWAHAR NAGAR, 21/5, Jawahar Nagar, 1st Main Road Peravallur., Karur Vysya Bank,Perambur,Chennai, Mob:9176503535,9884156172"
143,Bhimboys Cold Foods,Bhimboys ld Foods,"SP-152-B,4th Line First Main Road,, Ambattur Industrial Estate,, Chennai-600058., Mob:8870721517"
144,Bhojanalay Hospitality  ( P ) Ltd,Bhojanalay Hospitality Ltd,"4/1397, Mogappair West Main Road,, Mogappair West, Chennai - 600 037, 044 26531997, Mob-9843656396"
145,Bigbillion Food & Beverages Private Limited,Bigbillion Food & Beverages,"Old no 15, New no 26,, 100 Feet By-pass road, Velachery,, Chennai, Tamil Nadu, 600042, ph: 7200435642"
146,Bikkgane Biryani Llp ( Ambattur ),Bikkgane Biryani,"No:109A & 110A,Ambathur Mpty Ward-81,, Sozhapuram 6th Street,, Municipal School Cholapuram,, Ambattur,Chennai-600053., Mob:9080509684."
147,Bikkgane Biryani Llp ( Kodambakkam ),Bikkgane Biryani,"No:193,N.S.K Salai,, Kodambakkam Sub Post Office,, Kodambakkam,Chennai-600024., Mob:6380766251"
