Sl_No,Restaurant,Address,GSTIN,Detected_Cuisines,Swiggy_Food_ID,Swiggy_Dineout_ID,Imported Avocado,Blueberry,Cherry Tomato,Parsley,Thai Asparagus,Indian Asparagus,Lemon Grass,Thai Basil,Italian Lemon,Thai Bird Chilli,Shiso Leaves,Rosemary,Total_SKU_Score
1144,NOODLE BOWL_x000D_,"NF45 Foods Street,, No 133, Poonamallee High Rd,, Vellapanchavadi, Chennai 600 077., Mob: 9500087696",33APKPA7032H1Z9,"Pan_Asian, Health_Organic",,,0.7,0.6,0.55,0.3,0.25,0.35,0.5,0.4,0.0,0.35,0.15,0.3,4.45
565,Greenpark Hotels And Resorts Limted,"Arcot Road, Vadapalani, Chennai 600 026, Tel No.044 66515151 ,66783637",33AAACD6747L1ZH,"Health_Organic, Hotel_Star",,,0.7,0.6,0.55,0.45,0.25,0.35,0.3,0.2,0.25,0.0,0.1,0.5,4.25
98,Asiana Hotels,"1 238 Semmanchery, Old Mahabalipuram Road, Chennai 600 119",,"Pan_Asian, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.5,0.4,0.25,0.35,0.15,0.5,4.1
196,Cafe De Bangkok Chennai,"No. 18, Thevar Road, Nandanam,, Chennai-600035, Mob-73053 50248",,"Thai, Cafe_Bakery",,,0.35,0.4,0.2,0.0,0.3,0.0,0.85,0.8,0.0,0.75,0.0,0.25,3.9
1121,New Seoul Hotels,"No.406, 3rd Floor,, TTK Road,, Alwarpet,Chennai-600018, 98400 28700",33AAJFN9227B1ZG,"Korean, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.2,0.35,0.5,3.75
2160,Wok Monk Restaurant,"2nd Floor, Ravilla tower,, No: W117,Third Avenue,, Anna nagar,Chennai- 40, Mob-97911 80902",33AAOFD9570A1ZH,"Chinese, Fine_Dining, Pan_Asian",,,0.3,0.2,0.4,0.35,0.0,0.2,0.5,0.4,0.2,0.35,0.15,0.4,3.45
1228,Oriental Hotels Ltd,"(Taj Coromandel), No 37 Mahathma Gandhi Road, Chennai 600 034",33AAACO0728N1ZH,"Chinese, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.1,0.1,0.5,3.4
833,MALABAR HOTELS PRIVATE LIMITED,"1/238, Old Mahabalipuram Road,, Semmencherry, Chennai – 600119, Phone: 91 044 61377700_x000D_
, Mobile No.9360135219",33AADCM5836G1ZK,"Fine_Dining, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1204,OMR HOTELS,"Crescent Restaurant, 1 Cholamannan Street,, Taramani Link Road,, Taramani, Chennai 600 113, Mob: 99625 65656",33ABBFA8729Q2ZY,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1179,Oberoi Flight Services,"( EIH Limited), Pallavaram, Chennai 600 044",33AAACE6898B1ZP,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1098,Narangs International Hotels Pvt Ltd,"(Ambassador Pallava), No 30 Montieth Road, Chennai 600 008, Mob No. 7397750078",33AAACN2084L1ZH,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
920,Moksha Medical and Hotel Needs,"No.1, Vinayaga Maistry Street,, Sowcarpet,Chennai-600079, Mob  94444 60596",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
890,MFAR Hotels & Resorts Pvt Ltd,"(The Westin Chennai), 154 Velachery Main Road, Velachery, Chennai 600 042, PH 044 6633 3777",33AABCM9267F1ZF,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
881,MEKA HOTELS PRIVATE LIMITED,"Ground floor, No.3573, Shop No.7 BM Gardenia,, Guru Brindavan Garden,, Vanagaram Ambattur Road,, Vanagaram,, chennai - 600095, contact no : 90802 66684",33AASCM4826F1ZB,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
188,Buhari Hotel - A Unit of M.B and Brothers,"Old No.63, New No.52/1b,, Pulla Avenue, Shenoy Nagar, Chennai, MoB:63813 06037",33ABSFM0736G1Z8,Hotel_Star,50972,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1,Accent Hotels Pvt Ltd,"Sipcot No 36 OMR, Chennai 600 090, Mob:9600747175.",33AAGCA9139F1ZR,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1209,Onis Hotels Private Limited,"Old No, 5, New No, 17 Velachery Main Road,, Little Mount, Saidapet,, Chennai- 600015, Mob-97890 92382",33AAACY4995P1ZI,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
761,Lamicale Club & Resort Pvt Ltd.,"73/2 Valluvar Salai,, Ramapuram Chennai . 600089, Mob-98843 39554",33AAACL8688C1ZG,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
727,Krish Resorts Private Limited,"No:3,Old No:314,Raja Veedhi,, Off VVV Salai,Uthandi,, Chennai-600119., Mob:9884825219.",33AAECK5789R1ZM,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
711,Klase Hotels Private Limited,"No 86 Mount Road, Guindy Chennai 600032., Mob 89399 92112, Mr. Sam",33AAGCK8377H1Z7,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
705,Kay-Em Luxury Hotels & Resorts Pvt Ltd,"( Kayem Spectra Hotels ), 1/226, Service Road,, Vanagaram,, Chennai 600 095.",33AAACY5792L1ZT,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
675,JPRI Hotels Private Limited,"No:125,Valluvar Kottam High Road,, Nungambakkam,Chennai-600034., Mob:9047608430.",33AAACJ2667B1Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
672,Jolly Gem Inn Pvt Ltd,"1A, 1B, Rajive Gandhi Salai,, Omr, Navalur, Chennai - 603103, Contact No : 99403 86768",33AABCJ8163D1ZT,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
660,J Hotels Private Limited,"(The Accord Metropolitan), G N Chetty Road  T Nagar, Chennai - 600 017.",33AAACJ9423H2ZO,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
216,C&C HOTEL NEEDS,"OLD NO.5/1, NEW NO.3,, KRISHNAMA ROAD,, KRISHNAMA LANE,, NUNGAMBAKKAM,, Chennai-600034, Mob-93421 70401",33AANFC3003A1ZB,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
217,Ceebros Hotels Private Limited,"Pullman Chennai Anna Salai, No:636,Anna Salai,, Teynampet,Chennai-600035., Mob:91500 70924",33AAACC3051E4ZB,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
775,Lemon Tree Hotel,"72 Sardar Patel Road, Guindy, Chennai 600 032, 044 44232118, 04444232323, Mob No. 9840610894",33AACCK1698R1ZW,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1310,PRIDE HOTELS LIMITED,"216, EVR Periyar Salai, Kilpauk,, Chennai - 600 010., Mob. No: 09840384455, T: (044) 43989898",33AAACP2962P1Z4,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
156,Bluemont Hotels Private Limited,"Old no 36, new Number 71,, Sterling Road, Nungambakkam,, Chennai – 600034., MOB NO- 7094406110",33AAHCB6740J1ZN,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1468,Saaral  Resort & Hotels Pvt Ltd,"No : 1/685, Valayapathy Salai, Mugappair East, J J Nagar, Chennai - 600037, Varan - 9789987634",33AAKCS5363F1ZB,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1610,Siprian Hotels Pvt Ltd,"Mango Hill Chennai, Unit of Siprian Hotels Pvt, No:4,Thirumalai Pillai Road,, T.Nagar,Chennai-600017, Mob:9600162200",33AAFCS2630A1Z2,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1576,Shimona Hotels Private Limited,"3/204, Parthasarathy Nagar,, Manapakkam Main Road,, Manapakkam,, Chennai 600116., Mob: 99252 22418.",33AAOCS9772J1ZL,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1575,SHILTON HOSPITALITY PRIVATE LIMITED,"Old No 87, New No 90,, Dee Cee Manor, G N Chetty Road,, T Nagar, Chennai,, Tamil Nadu, 600017, Ph No : 6379361237",33ABPCS8883E1ZR,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1574,Shilton Hospitality LLP,"Dee Cee Manor Hotel, GN Cheety Road, T Nagar Chennai-600005, Mobile: 63793 61237, 98451 09439",33ACLFS4131K1Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1546,Seetharam Hotels,"No 1/228 Rajivgandhi Rd.,, OMR  IT Corridor, Semmencherry, Chennai 600 119., Mob: 98406 78603, Name: Abbas",33ADDFS6032J1Z5,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1523,SAS Hotels And Enterprises Limited (T),"(The Residency), No:49,G.N. Chetty Road, T Nagar, Chennai - 600 017, 044 28253434",33AAECS1194C2ZP,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1520,Sarovar Hotels Private Limited,"No. 39, Mambakkam, Chennai to Bangalore National Highway,, Sriperumbudur,Kancheepuram,, Tamil Nadu, 602105",33AAACS8083L2Z0,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1514,Saras Hotels Pvt Ltd,"( Days Hotels ), 245 1 Old Mahabalipuram Road, Padur Chennai 603104, Mob No. 9551386655",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1493,Sameera Hotels(Chennai) Private Limited (AS),"The Lotus Hotel Sameera, NO.47, ANNA SALAI,, CHENNAI – 600  002., Mobile: +91 9952051704, Tel-044- 46062200",33AANCS2743L1Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1433,Robust Hotels Limited,"( Hyatt Regency ), No 365 Anna Salai, Teynampet, Chennai 600018",33AADCR5418B2ZU,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
219,Ceebros Hotels Private Limited (AL),"120 St Marys Road Alwarpet, Chennai 600018",33AAACC3051E1ZE,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
128,Barque Hotels Pvt Ltd,"Holiday Inn Express, No. 5/395, OMR Road Nehru Nagar, Thoraipakkam, Chennai-600097, Mob-8939834541",33AADCB4211A1ZO,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1410,Resort Way Bakes & Juice,"Akkarai,Ecr,, Chennai-600119., Mob:9645496545.",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1388,RBL Hotels Pvt Ltd,"( Vivanta Chennai ), IT Expressway Chennai, No. 309, OMR, Sholinganallur, Chennai-600 119",33AADCN5041N1ZF,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
138,Beverly Hotel (P) LTD,"No:17,Rajarathinam Road,, Kilpauk,Chennai-600010",33AABCB2280K1ZW,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1384,Rar Hotels Private Limited,"No 15 Venkatraman Street, T.Nagar, Chennai 600 017, Mob No 99520 51704",33AABCG6590P1Z4,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1369,Rajam Resorts Private Limited,"( Pleasant Days), Chennai Bangalore High Way, Palanjur Sembarambakkam, Chennai 600 123, Phone No 044 2681 1000/0900",33AAHCR9756Q2ZE,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1357,Radha Rajalakshmi Hotels Private Limited,"No 4/129 Mount  Poonamalle Road, Opp to Ex C.M MGR S House, Manapakkam Chennai 600 089, Mob No 7358018818 9841094155, AC No 044 66776869",33AAECR6728B1ZN,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1355,Raaj Bhaavan Clarks Inn,"No:307,Valluvarkottam High Road,, Chennai-600034., Mob:9943591007.",33AADCH2385M3ZC,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1311,Pride Inn Club,"NO: 10,Pearl Beach,Ansari Nagar,, Kovalam,Kanchipuram District,, Chennai-603112., Mob: 63695 70173",33AAKAP3816G1ZM,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
218,Ceebros Hotels Private Limited (A),"NO 636 Anna Salai, Teynampet, Chennai 600 035",33AAACC3051E1ZE,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
640,ITC LIMITED (C),"ITC WelcomHotel Chennai, 10, Cathedral Road, Chennai 600086, Mob: 78717 77334",33AAACI5950L1ZH,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
220,Ceebros Hotels Private Limited (L),"Lola's Pizzeria, Ground Floor,, No:187,St.Mary's Road,, Alwarpet,Chennai-600018.",33AAACC3051E3ZC,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
