Sl_No,Restaurant,Address,Detected_Cuisines,Total_SKU_Score
1144,NOODLE BOWL_x000D_,"NF45 Foods Street,, No 133, Poonamallee High Rd,, Vellapanchavadi, Chennai 600 077., Mob: 9500087696","Pan_Asian, Health_Organic",4.45
565,Greenpark Hotels And Resorts Limted,"Arcot Road, Vadapalani, Chennai 600 026, Tel No.044 66515151 ,66783637","Health_Organic, Hotel_Star",4.25
98,Asiana Hotels,"1 238 Semmanchery, Old Mahabalipuram Road, Chennai 600 119","Pan_Asian, Hotel_Star",4.1
196,Cafe De Bangkok Chennai,"No. 18, Thevar Road, Nandanam,, Chennai-600035, Mob-73053 50248","Thai, Cafe_Bakery",3.9
1121,New Seoul Hotels,"No.406, 3rd Floor,, TTK Road,, Alwarpet,Chennai-600018, 98400 28700","Korean, Hotel_Star",3.75
2160,Wok Monk Restaurant,"2nd Floor, Ravilla tower,, No: W117,Third Avenue,, Anna nagar,Chennai- 40, Mob-97911 80902","Chinese, Fine_Dining, Pan_Asian",3.45
1228,Oriental Hotels Ltd,"(Taj Coromandel), No 37 Mahathma Gandhi Road, Chennai 600 034","Chinese, Hotel_Star",3.4
833,MALABAR HOTELS PRIVATE LIMITED,"1/238, Old Mahabalipuram Road,, Semmencherry, Chennai – 600119, Phone: 91 044 61377700_x000D_
, Mobile No.9360135219","Fine_Dining, Hotel_Star",3.3
1204,OMR HOTELS,"Crescent Restaurant, 1 Cholamannan Street,, Taramani Link Road,, Taramani, Chennai 600 113, Mob: 99625 65656",Hotel_Star,3.3
1179,Oberoi Flight Services,"( EIH Limited), Pallavaram, Chennai 600 044",Hotel_Star,3.3
1098,Narangs International Hotels Pvt Ltd,"(Ambassador Pallava), No 30 Montieth Road, Chennai 600 008, Mob No. 7397750078",Hotel_Star,3.3
920,Moksha Medical and Hotel Needs,"No.1, Vinayaga Maistry Street,, Sowcarpet,Chennai-600079, Mob  94444 60596",Hotel_Star,3.3
890,MFAR Hotels & Resorts Pvt Ltd,"(The Westin Chennai), 154 Velachery Main Road, Velachery, Chennai 600 042, PH 044 6633 3777",Hotel_Star,3.3
881,MEKA HOTELS PRIVATE LIMITED,"Ground floor, No.3573, Shop No.7 BM Gardenia,, Guru Brindavan Garden,, Vanagaram Ambattur Road,, Vanagaram,, chennai - 600095, contact no : 90802 66684",Hotel_Star,3.3
188,Buhari Hotel - A Unit of M.B and Brothers,"Old No.63, New No.52/1b,, Pulla Avenue, Shenoy Nagar, Chennai, MoB:63813 06037",Hotel_Star,3.3
1,Accent Hotels Pvt Ltd,"Sipcot No 36 OMR, Chennai 600 090, Mob:9600747175.",Hotel_Star,3.3
1209,Onis Hotels Private Limited,"Old No, 5, New No, 17 Velachery Main Road,, Little Mount, Saidapet,, Chennai- 600015, Mob-97890 92382",Hotel_Star,3.3
761,Lamicale Club & Resort Pvt Ltd.,"73/2 Valluvar Salai,, Ramapuram Chennai . 600089, Mob-98843 39554",Hotel_Star,3.3
727,Krish Resorts Private Limited,"No:3,Old No:314,Raja Veedhi,, Off VVV Salai,Uthandi,, Chennai-600119., Mob:9884825219.",Hotel_Star,3.3
711,Klase Hotels Private Limited,"No 86 Mount Road, Guindy Chennai 600032., Mob 89399 92112, Mr. Sam",Hotel_Star,3.3
