Total rows: 2204
Tamil Nadu rows: 2194
Likely food businesses: 746

ALL FOOD BUSINESSES:
     0. Accent Hotels Pvt Ltd  |  Sipcot No 36 OMR, Chennai 600 090, Mob:9600747175.
     1. ACENDO HEALTH CARE  |  First Floor, No.48/1,, N M K Street,, Ayanavaram,, Chennai - 600 023., Mob: 8754282236
     3. Achayathis Restaurant  |  100 Feet Road,, Opp Opposite Kalyan Jewellers,, 3rd Street,Rajalakshmi Nagar,, Velachery,Chennai-600042., Mob:8589041869
     8. Adoughrable Foods  |  no:11 C V Raman Road,, Anandapuram,, Alwarpet,Chennai-600018., Mob:9952544306 / 9841539243
    10. Advantage Foods Private Limited(W)  |  NO:1043,Chokkanallur Village,, Poonamallee Taluk,Tiruvallur Dist,, Chennai-600072., Mob:9962445190 / 6380126446
    11. Adyar Ananda Bhavan Sweets India Pvt Ltd  |  No. 53, Industrial Estate Ambattur, Industrial Estate  Ambattur, Chennai - 600 058, Tel No: 044 42 333 333
    14. Adyar Gate Hotels Limited  |  TTK Road, Chennai 600018
    16. Agk Hotels International Private Limited  |  No 1, Krishna Group, 1st Main Road,, CIT Colony,, chennai -600004, PH: 99520 13411
    18. Ahara Speciality Foods LLP  |  New No 22 Old No 40, 3rd Street East Abhiramapuram, Mylapore, Chennai 600 004, 9952908770/9962542551., 9176701657
    19. Ahlan Copper Kitchen  |  No:7,P.C.M.Colony,, Thomas Mount,, Chennai-600016., Mob:9677164004
    21. Aitken Spence Hotel Managements(SI) Pvt Ltd  |  No 144 7 Rajiv Gandhi Salai, OMR Kottivakkam, Chennai 600 041, Mobile No 80723 31522
    23. A.J. FRIENDS HOCKEY CLUB  |  2/101, 6th Street, Anna Nagar East,, Chennai-600102, Mob-7010751683
    24. AK Foods  |  No:16,Ramsamy St, Alwarpet,, Chennai-600018, Mob:8825718274,9092948353
    25. AK FOODS (N)  |  No:81 4th Floor, B Block, Nochi Nagar,, Mylapore Chennai-600004, Mob:88257 18274
    30. Al-Ameen Chef Express Family Restaurant  |  210-1B-16 Anna Salai, Kodaikanal, ( Delivery Address:, Ciro Cattaneo, Sunrise Villa,, Ags Colony Beach, B.34 Kottivakkam
    31. Alankar Bakery  |  No:14/3,Bharathidasan Street,, Bangalore to Chennai by Pass Road,, Arcot-632503., Mob:9791933705
    32. AL FRESCO CAFE  |  No.80, Plot No.19B,, City Recreation Building,, New Avadi Road, Alagappan Nagar,, Kilpauk,, chennai - 600010, Contact No
    33. ALICE FAMILY BAZAAR  |  No B25, Kambar Salai,, Mugappair Industrial Estate,, Mugappair West,, Chennai - 600 037., Mob: 9150238761.
    34. Amadora Gourmet Ice Cream Pvt Ltd ( New )  |  Sree Narayana Complex,, Ground Floor,B-Block,No:29,, Sarathy Nagar,Velachery,, Chennai-600042.
    36. AMBATTUR AARTHI SWEETS AND BAKERY  |  27,Northi Park Street,, Venkatapuram Tiruvallur,, Chennai-600053, Mob:9360792743
    37. Ambattur Hotels Private Limited  |  ( Park Hyatt), 39 Velacherry Road, Guindy Chennai  600 032, Tel No 044 71771242
    40. Amethyst Cafe Pvt Ltd  |  Whites Road, Royapettah, Chennai 600 014, Ph 98401 20554, Tel No 044 4599 1630 31 32
    48. ANJALI HOTELS PVT LTD  |  27, Signal Office Road,, Pammal,, Chennai - 600075., Mob: 9445567766
    49. ANJANAAS KITCHEN LLP  |  2 P N Palayam,, Arasankalani,, Sithalapakkam,, Chennai - 600 126., Mob: 9629986234
    56. Annai Foods  |  No.16, Ganesh Nagar,, First Main Road,, Madipakkam, Chennai,, Tamil Nadu, 600091, Contact: 044-47891039,9042785286
    57. Annapoorani Cafe  |  No :1, Agrahara Street,, Avadi, Chennai-054, Mob:9940197442
    62. APA Hotels Private Limited  |  (The Residency Towers), Sir ,Thyagaraya Road,, Chennai 600017, 044 28156363
    63. Apeejay Surendra Park Hotels Limited  |  # 601.Anna Salai, Chennai- 600 006, Tel No: 044 42676000, 42144000
    64. Apollo Sindhoori Hotel Ltd ( CK )  |  Centralised Kitchen, No:717,No:238,Pathari Road,, Anna Salai,, Chennai-600002., Mob:7401114634, ( Near Raj Video Vision)
    65. Apollo Sindhoori Hotel Ltd ( Main Hospital )  |  No:21,Greams Lane,, Off Greams Road,Thousand Lights,, Chennai-600006., Mob:7401114634.
    66. Apollo Sindhoori Hotel Ltd ( Ty )  |  No:6,Old No:24,Cenotaph Road,, Teynampet,Chennai-600035., Mob:7401114634.
    67. Apollo Sindoori Hotel Ltd ( Proton )  |  Apollo Proton Cancer Center, No:4/661,Dr Vikram Sarabai Instronic Estate,, 7th Street,Dr Vsi Estate,Phase II,, Taramani,
    68. Apollo Sindoori Hotels Limited(MCC)  |  ASHL - Madras Cricket Club, 1, Babu Jagarjeevan Ram,, Chepauk, Chennai - 600 005, MOB:- 7401114634
    72. Appu Hotels Limited  |  ( Le Royal Meridien Chennai ), G S T Road Guindy, Chennai  600 016, Tel No: 044 45532290, 22314343,44
    77. ARC Foods and Beverages ( Sales )  |  33/24 A Ranjith Roads,, Kotturpuram,, Chennai 600085
    78. Archana Foods  |  E 50 Plot No 3 17th Cross Road, Besant Nagar, Chennai 600 090, Mob No: 8015195000, Tel 8939295000
    84. Ark Bistro  |  NO: 19,First Floor,Kakhan Street,, Potheri,Kattankulathur,, Chennai-603203., MOB: 9962103426.
    85. AR  NUTS & SPICES  |  No. 363 / 1A, Trunk Road, Karayanchavadi,, Poonamallee,, Chennai-600056, Mob:9790834044 ,7397454753
    89. Aruna Hotels Limited  |  No 145, Aruna Centre,, Sterling Road,, Nungambakkam,, Chennai 600034., Mob: 9363401487
    94. ARZ Food Ventures Private Limited  |  No 6 Radhamohan Street, Velacherry, Chennai 600 042, Tel 044 4263 0001, Balaji 98414 88322
    97. Asiana Hotels  |  1 238 Semmanchery, Old Mahabalipuram Road, Chennai 600 119
    98. ASM FOODS  |  Plot No.21 F, R.S.No.6/8, Present R.S.No.A1B, Beach Raod, Mgr Salai Palavakkam, Chennai -600041, PH: 7358262141 ,9659681
   104. Australian Foods India Private Limited  |  Plot No 20 23, Ambattur Industrial Estate, Chennai 600 058
   116. Baked Fresh Venturers  |  Old No 48 New No 50, Seethammal Road, Teynampet, Chennai 600 035, Mob 82483 22146
   119. Bakery Garden  |  No 22b College Road, Nanganallur, Chennai, 9710432433
   124. Bamboo Kitchen  |  No:6/8,4th Avenue,2nd Floor,, Main Road,AH Block Shanti Colony,, Anna Nagar,Chennai-600040., Mob:8939632585.
   125. Barani  |  No:T-29B,7th Avenue,, Besant Nagar,Chennai-600090., Mob:8925503453
   126. Bargainmart  |  KS Square, No:318/1A5,NH Byepass Road,, Nolambur,Chennai-600037., Mob:8925462171
   127. Barque Hotels Pvt Ltd  |  Holiday Inn Express, No. 5/395, OMR Road Nehru Nagar, Thoraipakkam, Chennai-600097, Mob-8939834541
   133. Benney Bakers & Cakes  |  43 west kalmandapam road, Royapuram, Chennai-600013, Mob:9677222762
   134. Benny Foods  |  SHOP NO. G/A 315, WHOLESALE FOOD, GRAIN MARKET, KOYAMBEDU,, CHENNAI-600107
   136. BESTKEPT RESTAURANT SECRETS PRIVATE LIMITED  |  48/72, Chathidral Road, Galilayapuran, Chennai, Tamil Nadu, 600086, Mob:+91 98400 75450
   137. Beverly Hotel (P) LTD  |  No:17,Rajarathinam Road,, Kilpauk,Chennai-600010
   139. BGR Dairy Foods  |  No:4/5-2,Valliammal Garden 2nd Street,, Near Chalrapani Street Five Lights,, Kodambakkam.Chennai-600024., Mob:9840777272
   142. Bhavani Essence And Frozen Foods  |  21/5, JAWAHAR NAGAR, 21/5, Jawahar Nagar, 1st Main Road Peravallur., Karur Vysya Bank,Perambur,Chennai, Mob:9176503535,9
   143. Bhimboys Cold Foods  |  SP-152-B,4th Line First Main Road,, Ambattur Industrial Estate,, Chennai-600058., Mob:8870721517
   145. Bigbillion Food & Beverages Private Limited  |  Old no 15, New no 26,, 100 Feet By-pass road, Velachery,, Chennai, Tamil Nadu, 600042, ph: 7200435642
   146. Bikkgane Biryani Llp ( Ambattur )  |  No:109A & 110A,Ambathur Mpty Ward-81,, Sozhapuram 6th Street,, Municipal School Cholapuram,, Ambattur,Chennai-600053., M
   147. Bikkgane Biryani Llp ( Kodambakkam )  |  No:193,N.S.K Salai,, Kodambakkam Sub Post Office,, Kodambakkam,Chennai-600024., Mob:6380766251
   148. Bikkgane Biryani Llp ( Porur )  |  No:3/26,Dharmaraj Kovil Street,, Sheikmanyam,Alpakkam,, Porur,Chennai-600116., Mob:9840197735
   149. Bikkgane Biryani Llp ( Sholinganallur )  |  No:439,Sathyavanimuthu St,, St,Thomas Mount Block,, Sholinganallur,Chennai-600119., Mob:9962312117
   150. Bikkgane Biryani Llp ( Villivakkam )  |  No:381,Maligaicherry,, MTH Road,Villivakkam,, Chennai-600049., Mob:8248777955
   151. Bikkgane Biryani Llp ( West Tambaram )  |  No:131,Siva Shanmugam Pillai Street,, Tambaram Mpty,West Tambaram,, Chennai-600045., Mob:9840197735
   155. Bluemont Hotels Private Limited  |  Old no 36, new Number 71,, Sterling Road, Nungambakkam,, Chennai ΓÇô 600034., MOB NO- 7094406110
   156. Blue Moon Recreation Club  |  14 and 15, Vinayaga Avenue, Okkiam Thoraipakkam, Chennai, PH:85318 18118
